OBJECTID_1,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,GEO_display_label,respop72015,openaddr,Shape_Length,Shape_Area
1,31,039,00835841,31039,Cuming,Cuming County,"Cuming County, Nebraska",9125,"9,397",1.624427642058170,0.161523825053669
2,53,069,01513275,53069,Wahkiakum,Wahkiakum County,"Wahkiakum County, Washington",4042,0,1.449176964964204,0.086692202219683
3,35,011,00933054,35011,De Baca,De Baca County,"De Baca County, New Mexico",1828,0,3.455133272428193,0.592344280550291
4,31,109,00835876,31109,Lancaster,Lancaster County,"Lancaster County, Nebraska",306468,"208,471",1.943375931975103,0.233861697743708
5,31,129,00835886,31129,Nuckolls,Nuckolls County,"Nuckolls County, Nebraska",4329,"6,682",1.602282184836745,0.157691041353509
6,46,099,01265772,46099,Minnehaha,Minnehaha County,"Minnehaha County, South Dakota",185197,"65,118",2.050524995938905,0.235256022872774
7,48,327,01383949,48327,Menard,Menard County,"Menard County, Texas",2164,0,2.017359380352095,0.220448099444972
8,06,091,00277310,06091,Sierra,Sierra County,"Sierra County, California",2967,100,3.064186961448202,0.261249416542344
9,21,053,00516873,21053,Clinton,Clinton County,"Clinton County, Kentucky",10174,1,1.148505924227144,0.053669864609757
10,39,063,01074044,39063,Hancock,Hancock County,"Hancock County, Ohio",75573,"35,165",1.615461303390798,0.147932436120623
11,48,189,01383880,48189,Hale,Hale County,"Hale County, Texas",34360,0,2.018321661778989,0.254158065168816
12,01,027,00161539,01027,Clay,Clay County,"Clay County, Alabama",13555,2,2.022787691020905,0.151892251683008
13,48,011,01383791,48011,Armstrong,Armstrong County,"Armstrong County, Texas",1947,31,1.944938149695455,0.233601364162759
14,39,003,01074015,39003,Allen,Allen County,"Allen County, Ohio",104425,"47,259",1.587691603859474,0.112394363866595
15,13,189,00348794,13189,McDuffie,McDuffie County,"McDuffie County, Georgia",21540,0,1.475905878221483,0.066929612367474
16,55,111,01581115,55111,Sauk,Sauk County,"Sauk County, Wisconsin",63642,"55,059",2.334549569265744,0.244475125641183
17,05,137,00069902,05137,Stone,Stone County,"Stone County, Arkansas",12456,"8,584",2.092949124245782,0.157497412271318
18,41,063,01155135,41063,Wallowa,Wallowa County,"Wallowa County, Oregon",6856,1,4.662024603314677,0.940937928198186
19,42,007,01214112,42007,Beaver,Beaver County,"Beaver County, Pennsylvania",168871,673,1.422194889472985,0.122507513484734
